Percent daily value based on,item,brand,Distributed by/Manufactured by,Packaged in,certified organic by,serving size,servings per container,net weight,calories,calories from fat,total fat,saturated fat,trans fat,Polyunsaturated fat,Monosaturated fat,cholesterol,sodium,Potassium,total carbohydrates,dietary fibers,soluble fiber,sugars,added sugars,protein,Vitamin A (Retinol),Vitamin B,Vitamin C (Ascorbic acid),Vitamin D (Calciferol),Vitamin E (Tocopherol),Vitamin K (Phylloquinone),Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B5 (Pantothenic acid),Vitamin B6 (Pyridoxine),Vitamin B7 (Biotin),Vitamin B9 (Folate/Folic acid),Vitamin B12 (Cyanocobalamin/Cobalmins),Calcium,Copper,Iron,Phosphorus,Magnesium,Zinc,Manganese,Omega-3 (alpha-linolenic acid ALA),Omega-6 (linolenic acid LA),Omega-9 (oleic acid OA),Ligans (SDG),Lepidium meyenil (organic maca root),black pepper extract (95 % piperine),organic bilberry fruit (Vaccinium myrtillus),Bilberry fruit extract (Vaccinium myrtillus) standardized to 25 % anthocyanosides,LuteinRich Lutein (Tagetes erecta) (marigold flower extract),ingredients
2000 calorie diet,shelled hemp seeds (hemp hearts),Manitoba Harvest (hemp foods),"Manitoba Harvest Hemp Foods, Winnipeg, Manitoba, Canada R2r 1V4 1-800-665-HEMP",Canada,,3 tbsp (30 g),,,180,,15 g (19 %),1.5 g (8 %),0 g,10 g,2 g,0 mg,0 mg,333 mg (8 %),1 g (0 %),1 g (4 %),,1 g,,10 g,,,,0 mcg (0 %),,,0.3 mg (25 %),0.1 mg (8%),,,0.2 mg (10 %),,45 mcg DFE (10 %),,19 mg (2 %),,4 mg (20 %),460 mg (35 %),197 mg (45 %),3 mg (25 %),2.3 mg (100 %),,,,,,,,,,
2000 calorie diet,"sesame seeds (hulled, organic | gluten-free)",Anthony's Goods,"Anthony's, 820 Thompson Unit 32, Glendale, CA 91201","CA, USA (Certified organic by CCOF)",,1 tbsp (9 g),,,50,,4.5 g (6 %),0 g,0 g,,,0 mg,0 mg,45 mg (0 %),2 g (1 %),1 g (4 %),,0 g,,2 g,,,,0 mcg (0 %),,,,,,,,,,,89 mg (6 %),,1.3 mg (8 %),,,,,,,,,,,,,,
2000 calorie diet,Beyond Burger plant-based patties,Beyond Meat,"Beyond Meat, 119 Standard St, El Segundo, CA, 90245 866-756-4112",,,4 oz (113 g),,,260,,18 g (23 %),5 g (25 %),0 g,,,0 mg,350 mg (15 %),280 mg (6 %),5 g (2 %),2 g (7 %),,0 g,,20 g,,,,0 mcg (0 %),,,,,,,,,,,100 mg (8 %),,4 mg (20 %),,,,,,,,,,,,,,
2000 calorie diet,chia seeds,Healthworks Superfood,"Healthworks, Scottsdale, AZ, 85258","Mexico, South America",,1 tbsp (12 g),,,60,40,4.5 g (7 %),0 g,0 g,,,0 mg,,,5 g (2 %),5 g (20 %),,0 g,,3 g,0%,,0%,,,,,,,,,,,,10%,,8%,,,,,,,,,,,,,,
2000 calorie diet,chia seed,Nutivia,"Nutivia | 213 W. Cutting Blvd. Richmond, CA 94804 800-993-4367",Paraguay,QAI (US-ORG-050),1 tbsp (12 g),113,,60,25,3 g (5 %),0 g (0 %),0 g,2.5 g,0 g,0 mg (0 %),0 mg (0 %),60 mg (2 %),5 g (2 %),5 g (20 %),,0 g,,3 g (6 %),0 %,,0 %,,,,,,,,,,,,8 %,,6 %,,10 %,,,,,,,,,,,,
2000 calorie diet,cold milled organic ground premium flaxseed,Spectrum Essentials,"The Hain Celestial Group Inc., Lake Success, NY 11042 USA 800-343-7833",USA,,2 tbsp (14 g),,,70,50,6 g (9 %),0.5 g (3 %),,4 g,1 g,,5 mg (< 1 %),,4 g (1 %),3 g,,,,3 g,,,,,,,,,,,,,,,28 mg (3 %),,1 mg (5 %),,51 mg (13 %),,,2.9 g (181 %),0.6 g,0.8 g,98 mg,,,,,,
2000 calorie diet,"organic grain free granola (vanilla almond butter) with organic chia, coconut flakes, and MCT oil",purely elizabeth,"Purely Elizabeth LLC | Boulder, CO 80302",,QAI,1/3 cup (30 g),23,,170,,13 g (17 %),4 g (20 %),0 g,,,0 mg (0 %),110 mg (5 %),100 mg (2 %),9 g (3 %),2 g (7 %),,5 g,4 g (8 %),5 g,,,,0 mcg (0 %),,,,,,,,,,,20 mg (2 %),,2 mg (10 %),,,,,,,,,,,,,,
2000 calorie diet,supreme frosted brownie mix (mix),supreme frosted brownie mix (prepared),"General Mills Sales, Inc. Minneapolis, MN 55440 USA",,,1/16 pkg (34 g mix w/frosting),16,,130,20,2 g (3 %),1 g (5 %),0 g,,,0 mg (0 %),110 mg (5 %),75 mg (2 %),27 g (9 %),< 1 g (3 %),,18 g,,1 g,,,,,,,,,,,,,,,,,4%,,,,,,,,,,,,,,
2000 calorie diet,supreme frosted brownie mix (prepared),Betty Crocker Delights,"General Mills Sales, Inc. Minneapolis, MN 55440 USA",,,1/16 pkg (34 g mix w/frosting),16,,170,60,2 g (11 %),1 g (8 %),0 g,,,0 mg (4 %),110 mg (5 %),75 mg (2 %),27 g (9 %),< 1 g (3 %),,18 g,,1 g,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,
2000 calorie diet,instant oatmeal (original),Quaker -EST. 1877-,"The Quaker Oats Company P.O. Box 049003 Chicago, IL 60604-9003 USA",,,1 packet (28 g),12,,100,20,2 g (3 %),0.5 g (3 %),0 g,0.5 g,0.5 g,0 mg (0 %),75 mg (3 %),105 mg (3 %),18 g (6 %),3 g (10 %),1 g,0 g,,4 g,0%,,0%,,,,10%,,,,,,,,10%,,40%,10%,8%,,,,,,,,,,,,
2000 calorie diet,"maca (supplement) (black, red, and yellow maca)",Nutrachamps,"Nutrachamps Inc. | Aurora, ON, L4G1M2 1-866-272-6888",,,2 capsules,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 mg,5 mg,,,,
2000 calorie diet,Vitamin C (supplement),Nature Made,"Nature Made Nutritional Products | Mission Hills, CA 91346-9606 1-800-276-2878",,,1 tablet,60,,,,,,,,,,,,,,,,,,,,"1,000 mg (1,667 %)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 calorie diet,bilberry (supplement),Oregon's Wild Harvest Herbal Supplement,"Oregon's Wild Harvest | Redmond, OR 97756 1-800-316-6869",,,2 capsules,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640 mg,240 mg,,
2000 calorie diet,lutein (supplement),Natural Factors,"Natural Factors | 14224 167th Avenue SE Monroe, WA 98272",Canada,,1 softgel,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 mg,
2000 calorie diet,organic (frozen) blueberries,Kirkland Signature,"Costco Wholesale Corporation | P.O. Box 34535, Seattle, WA USA 98124-1535 1-800-774-2678",USA,OTCO,1 cup (155 g),9,,80,,1 g (1 %),0 g (0 %),0 g,,,0 mg (0 %),0 mg (0 %),80 mg (2 %),19 g (7 %),4 g (15 %),,13 g,0 g (0 %),<1 g,,,,0 mcg (0 %),,,,,,,,,,,10 mg (0 %),,0.3 mg (2 %),,,,,,,,,,,,,,
2000 calorie diet,baby carrots,Cal-Organic,"Cal-Organic Farms (a division of Grimmway Enterprises, Inc.) | Bakersfield, CA 93380 USA",USA,California Certified Organic Farmers (CCOF),3 oz. (85 g),11,,35,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),65 mg (3 %),272 mg (6 %),8 g (3 %),2 g (8 %),,5 g,0 g (0 %),1 g,1079 mcg (120 %),,10 mg (10 %),0 mcg (0 %),,,,,,,,,,,28 mg (2 %),,0.4 mg (2 %),,,,,,,,,,,,,,organic carrots
,organic carrot juice,Barsotti Family Juice Co.,"Barsotti Juice Co., Inc. (an Apple Hill Farm) | Camino, CA 95709 530-622-4629",,CCOF,8 fl oz (240 mL),8,,100,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),160 mg (7 %),716 mg (15 %),23 g (8 %),2 g (7 %),,10 g,,2 g (4 %),2346 mcg (20 %),,,0 mcg (0 %),,,,,,,,,,,58.9 mcg (4 %),,1.12 mg (6 %),,,,,,,,,,,,,,
,Organics 100 % Carrot Juice,Bolthouse Farms,"WM. Bolthouse Farms, Inc. | Bakersfield, CA 93307 1-800-467-4683",,CCOF,8 fl oz (240 mL),4,,70,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),150 mg (7 %),540 mg (10 %),15 g (5 %),1 g (4 %),,13 g,0 g (0 %),2 g,1600 mcg (180 %),,2 mg (2 %),0 mcg (0 %),,,0.1 mg (8 %),,2 mg (15 %),,,,,,50 mg (4 %),,0.4 mg (2 %),80 mg (6 %),20 mg (4 %),,,,,,,,,,,,
2000 calorie diet,broccoli florets,Taylor Farms,"Taylor Fresh Foods Inc. | P.O. Box 1649 Salinas, CA 93902 1-877-323-7374",,Oregon Tilth,1 cup (85 g),16,,30,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),25 mg (1 %),276 mg (6 %),4 g (1 %),2 g (7 %),,1 g,0 g (0 %),3 g,128 mg (15 %),,79 mg (90 %),0 mcg (0 %),,0 mcg (0 %),,,,,,,,,41 mg (4 %),,1 mg (6 %),,,,,,,,,,,,,,organic broccoli
2000 calorie diet,cauliflower florets,Gold Coast Pack,"Gold Coast Packing, Inc. | Santa Maria, CA 93456 USA",,"CCOF Certification Services, LLC",1 cup (85 g),10,,20,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),25 mg (1 %),255 mg (6 %),4 g (1 %),2 g (7 %),,2 g,0 g (0 %),2 g,,,41 mg (45 %),0 mcg (0 %),,,,,,,,,,,19 mg (2 %),,0 mg (0 %),,,,,,,,,,,,,,
2000 calorie diet,organic cauliflower florets,Bonipak -Est. 1932-,"Bonipak Produce, Inc | Santa Maria, CA 93458",U.S.A,CCOF,1 cup (85 g),,,25,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),25 mg (1 %),250 mg (6 %),4 g (1 %),2 g (7 %),,2 g (2 %),,2 g (4 %),,,41 mg (45 %),0 mcg (0 %),,13 mg (10 %),,,,,,,,,26 mg (2 %),,0 mg (0 %),,,,,,,,,,,,,,
2000 calorie diet,spinach,Muzzi Family Farms,"Muzzi Family Farms | Salinas, CA 93901",USA,,1.5 cup (85 g),13,,20,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),65 mg (3 %),470 mg (10 %),3 g (1 %),2 g (7 %),,0 g,0 g (0 %),2 g,400 mcg (5 %),,24 mg (25 %),0 mcg (0 %),1.7 mg (10 %),,,0.2 mg (15 %),,,0.2 mg (10 %),,165 mcg DFE (40 %),,80 mg (6 %),,2.3 mg (15 %),,65 mg (15 %),,,,,,,,,,,,
2000 calorie diet,"purple carrot, beet, & cherry with elderberry & echinacea (organic immune refresher)",Whole Foods Market,"Whole Foods Market | Austin, TZ 78703",,,8 fl oz (240 mL),4,,90,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),60 mg (3 %),420 mg (8 %),24 g (9 %),< 1 g (4 %),,22 g,0 g (0 %),< 1 g,,,90 mg (100 %),0 mcg (0 %),,,,,,,,,,,0 mg (0 %),,0.7 mg (4 %),,,,,,,,,,,,,,
2000 calorie diet,organic brussells sprouts,Green Wave Farms,"Green Wave Farms LLC | Vernon, CA 90058",,Quality Assurance International,3.0 oz (85 g),10.5,,5,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),20 mg (1 %),331 mg (8 %),8 g (3 %),3 g (11 %),,2 g,0 g (0 %),3 g,32 mcg (4 %),,72 mg (80 %),0 mcg (0 %),,150 mcg (130 %),,,,,,,,,36 mg (2 %),,1 mg (6 %),,,,,,,,,,,,,,organic brussells sprouts
2000 calorie diet,organic brussells sprouts,Good Life Organic,"Veg-Fresh Farms | Corona, CA 92880 USA",USA,Quality Assurance International,1 cup (88 g),10,,38,2,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),22 mg (1 %),8 g (3 %),3 g (13 %),,,2 g,,3 g,13 %,,125 %,,,,,,,,,,,,4 %,,7 %,,,,,,,,,,,,,,
2000 calorie diet,organic celery sticks,Earthbound Farm,"Earthbound Farm, LLC | Salinas, CA 93901",Mexico,QAI,2 sticks (85 g),13,,15,,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),70 mg (3 %),220 mg (4 %),3 g (1 %),1 g (4 %),,1 g,0 g (0 %),1 g,20 mcg (2 %),,3 mg (4 %),0 mcg (0 %),,,,,,,,,,,30 mg (2 %),,0.2 mg (2 %),,,,,,,,,,,,,,
2000 calorie diet,organic tableside chunky guacamole,Good Foods,"Goodfoods Group, LLC | Pleasant Praire, WI 53158 U.S.A.",Mexico,Certimex,2 tbsp (33 g),8,,40,,3.5 g (4 %),0.5 g (3 %),0 g,,,0 mg (0 %),150 mg (7 %),140 mg (2 %),3 g (1 %),2 g (7 %),,0 g,0 g (0 %),1 g,,,,0 mcg (0 %),,,,,,,,,,,0 mg (0 %),,0.2 mg (2 %),,,,,,,,,,,,,,
2000 calorie diet,Milk + Vitamin D,Lucerne Daily Farms,"Lucerne Foods, Inc. | P.O. Box 99 Pleasanton, CA 94566-0009 1-877-232-4271",California,1 cup (240 mL),16,128 fl oz (3.78 L),160,9 g (11 %),5 g (27 %),0 g,35 mg (12 %),135 mg (6 %),8 %,13 g (5 %),0 g (0 %),12 g,0 g,9 g (17 %),15 %,25 %,"milk, vitamin D3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 calorie diet,Organic Yogurt (Plain),Verka,"Quality Products, Inc. | 1850 S. 10th Street, 22 San Jose, CA 95112 408-292-0500",California Plant # 06-325,USDA,1 cup (227 g),8,64 oz (1.82 kg),170,8 g (10 %),5 g (25 %),0 g,30 mg (10 %),150 mg (7 %),480 mg (10 %),15 g (5 %),0 g (0 %),15 g,0 g (0 %),10 g,0 mcg (0 %),365 mg (30 %),0 mg (0 %),"grade A pasteurized organic cultured whole milk, organic nonfat milk. Contains milk. Contains live active cultures: (S. thermophillus, L. bulgaricus, L. casei, B. lactis, L. acidophilus, L. rhamnosus, L.lactis ssp. cremoris, L. lactis diacetylactis, L.mesentreroides, & L. delbrueckii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 calorie diet,organic boneless skinless chicken breasts,Coleman,Coleman,,,4 oz (112 g),varied,,120,20,2 g (3 %),0 g (0 %),0 g,,,80 mg (27 %),75 mg (3 %),,0 g (0 %),,,,,25 g,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,,,,
2000 calorie diet,boneless & skinless chicken breasts,Kirkland Signature,"Costco Wholesale Corporation | P.O. Box 34535, Seattle, WA 98124-1535 1-800-774-2678",USA,,4 oz (112 g),varied,,110,,1 g (1 %),0 g (0 %),0g,,,70 mg (23 %),75 mg (3 %),410 mg (8 %),0 g (0 %),0 g,,0 g,0 g,24 g (48 %),,,,0.1 mcg (0 %),,,,,,,,,,,0 mg (0 %),,0.4 mg (2 %),,,,,,,,,,,,,,
2000 calorie diet,chili beans (kidney beans) mild chili sauce,Bush's Best - Since 1908-,"Bush Brothers & Company | P.O. Box 52330 Dept. C Knoxville, TN 37950-2330 USA 1-800-590-3797",USA,,1/2 cup (130 g),3.5,,120,0,0 g (0 %),0 g (0 %),0 g,,,0 mg (0 %),450 mg (19 %),470 mg (13 %),22 g (7 %),8 g (32 %),,1 g,,8 g,0%,,0%,,,,,,,,,,,,10%,,15%,,,,,,,,,,,,,,"prepared dark red kidney beans, water, modified corn starch, salt, tomato paste, spices, sugar, corn oil, calcium chloride (firming agent), garlic powder, onion powder, maltodextrin"
2000 calorie diet,lentil,Progresso (Vegatable Classics),"General Mills Sales, Inc. | Minneapolis, MN 55440 USA",USA,,1 cup (241 g),2,19 oz (1 lb 3 oz),150,20,2 g (3 %),0 g (0 %),0 g,1 g,0 g,0 mg (0 %),730 mg (30 %),,29 g (10 %),5 g,,1 g,,9 g,4 %,,0 %,,,,,,,,,,,,2 %,,15 %,,,,,,,,,,,,,,"water, lentils, celery, tomato paste, spinach. Contains less than 1 % of modified starch, salt, soybean oil, sugar, natural flavor, yeast extract"
2000 calorie diet,moong (mung) beans,Veer,New Indi Bazar | Milpitas CA 95035 (408)-942-1770,,,100 g,18,,347,10,1 g (2 %),0 g (2 %),0 g (2 %),,,0 mg (0 %),15 mg (1 %),,63 g (21 %),16 g (65 %),,7 g,,24 g,2%,,8%,,,,,,,,,,,,13%,,37%,,,,,,,,,,,,,,
